団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
052108,秋田県,由利本荘市,0.34,92.5,12.0,105.3,96.4
052116,秋田県,潟上市,0.35,100.3,6.6,32.3,93.4
052124,秋田県,大仙市,0.35,91.1,11.4,72.4,97.9
052132,秋田県,北秋田市,0.26,95.8,7.8,18.0,96.3
052141,秋田県,にかほ市,0.35,92.3,8.2,60.6,93.9
052159,秋田県,仙北市,0.27,101.8,8.6,98.8,96.8
053031,秋田県,小坂町,0.37,101.9,13.1,43.1,93.4
053279,秋田県,上小阿仁村,0.12,96.2,7.7,-,91.6
053465,秋田県,藤里町,0.13,90.0,6.2,15.9,96.4
053481,秋田県,三種町,0.25,89.0,6.6,-,95.8
053490,秋田県,八峰町,0.18,91.4,7.8,-,94.8
053619,秋田県,五城目町,0.24,94.4,9.0,57.1,96.6
053635,秋田県,八郎潟町,0.24,83.8,10.8,-,90.7
053660,秋田県,井川町,0.21,77.4,4.6,-,94.0
053686,秋田県,大潟村,0.34,96.0,7.3,-,94.7
054348,秋田県,美郷町,0.24,81.9,▲ 1.9,-,94.7
054631,秋田県,羽後町,0.25,88.9,10.6,-,94.4
054640,秋田県,東成瀬村,0.12,88.1,13.7,-,96.2
062014,山形県,山形市,0.74,90.3,7.8,92.5,100.3
062022,山形県,米沢市,0.57,92.6,8.2,45.1,99.5
062031,山形県,鶴岡市,0.41,95.5,7.4,43.2,100.4
062049,山形県,酒田市,0.48,97.1,10.0,6.5,99.2
062057,山形県,新庄市,0.50,96.5,7.1,-,98.3
062065,山形県,寒河江市,0.53,87.7,7.8,-,98.6
062073,山形県,上山市,0.48,89.7,5.9,20.0,97.1
062081,山形県,村山市,0.35,86.9,8.6,20.8,97.3
062090,山形県,長井市,0.43,91.0,13.2,256.1,99.6
062103,山形県,天童市,0.66,88.2,4.7,-,99.6
062111,山形県,東根市,0.62,93.0,8.3,-,97.7
062120,山形県,尾花沢市,0.28,89.8,9.0,31.0,97.4
062138,山形県,南陽市,0.46,92.0,12.6,114.7,99.0
063011,山形県,山辺町,0.37,89.2,10.1,-,98.3
063029,山形県,中山町,0.35,94.9,11.7,28.0,100.4
063215,山形県,河北町,0.44,95.3,9.1,17.5,96.6
063223,山形県,西川町,0.22,88.6,11.6,-,98.9
063231,山形県,朝日町,0.19,96.3,8.3,-,100.3
063240,山形県,大江町,0.26,83.3,8.6,-,95.4
063410,山形県,大石田町,0.21,88.7,11.0,17.3,97.7
063614,山形県,金山町,0.19,90.6,9.4,-,99.3
063622,山形県,最上町,0.22,96.5,10.7,26.8,101.1
063631,山形県,舟形町,0.19,87.2,11.1,-,99.4
063649,山形県,真室川町,0.21,90.4,5.5,5.0,98.2
063657,山形県,大蔵村,0.15,89.5,10.0,-,99.6
063665,山形県,鮭川村,0.17,82.1,5.5,-,97.8
063673,山形県,戸沢村,0.16,81.9,13.4,40.8,101.6
063819,山形県,高畠町,0.39,90.9,11.7,73.9,99.6
063827,山形県,川西町,0.25,93.5,12.7,130.8,97.3
064017,山形県,小国町,0.28,91.2,12.3,50.5,97.3
064025,山形県,白鷹町,0.27,92.2,11.8,14.9,97.9
064033,山形県,飯豊町,0.20,89.3,13.5,113.9,99.3
064262,山形県,三川町,0.37,88.6,10.3,98.7,97.9
064289,山形県,庄内町,0.30,95.8,10.8,23.5,95.9
064611,山形県,遊佐町,0.29,88.0,11.7,38.3,97.1
072010,福島県,福島市,0.76,92.7,3.5,-,100.9
072028,福島県,会津若松市,0.62,87.0,4.9,27.1,100.2
072036,福島県,郡山市,0.82,88.8,1.6,-,101.0
072044,福島県,いわき市,0.79,93.4,8.0,-,100.0
072052,福島県,白河市,0.61,88.0,8.3,43.5,98.6
072079,福島県,須賀川市,0.56,98.8,5.3,63.1,101.0
072087,福島県,喜多方市,0.37,99.1,6.6,65.3,101.1
072095,福島県,相馬市,0.64,95.0,11.0,-,100.6
072109,福島県,二本松市,0.46,96.1,9.1,32.6,99.2
072117,福島県,田村市,0.35,89.7,8.8,-,96.2
072125,福島県,南相馬市,0.65,94.8,8.4,-,94.9
072133,福島県,伊達市,0.40,96.4,10.4,52.8,97.8
072141,福島県,本宮市,0.64,95.9,5.5,66.6,99.8
073016,福島県,桑折町,0.42,89.4,9.4,-,99.5
073032,福島県,国見町,0.29,89.3,3.3,-,100.6
073083,福島県,川俣町,0.33,92.6,4.2,-,99.7
073229,福島県,大玉村,0.37,87.7,7.3,-,97.9
073423,福島県,鏡石町,0.56,79.3,9.6,100.6,99.0
073440,福島県,天栄村,0.30,82.2,7.9,-,99.8
073628,福島県,下郷町,0.33,82.6,6.1,-,98.7
073644,福島県,檜枝岐村,0.27,91.8,3.5,-,96.4
073679,福島県,只見町,0.21,86.2,4.0,-,97.7
073687,福島県,南会津町,0.24,87.4,7.0,18.9,96.7
074021,福島県,北塩原村,0.23,91.4,14.6,63.6,94.7
074055,福島県,西会津町,0.20,90.5,12.1,78.2,98.4
074071,福島県,磐梯町,0.28,84.8,11.9,81.6,96.7
074080,福島県,猪苗代町,0.37,91.5,9.7,28.6,97.1
074217,福島県,会津坂下町,0.37,83.9,9.8,24.5,98.8
074225,福島県,湯川村,0.22,94.4,11.9,-,99.5
074233,福島県,柳津町,0.18,86.7,6.1,-,96.3
074446,福島県,三島町,0.13,99.3,12.7,-,96.5
074454,福島県,金山町,0.24,80.9,4.7,-,99.2
074462,福島県,昭和村,0.09,88.3,7.9,-,91.4
074471,福島県,会津美里町,0.28,89.5,4.3,-,97.3
074616,福島県,西郷村,0.98,72.8,3.3,-,100.7
074641,福島県,泉崎村,0.53,88.6,7.0,-,93.9
074659,福島県,中島村,0.29,84.6,8.0,-,96.5
074667,福島県,矢吹町,0.60,88.6,11.2,72.6,98.2
074811,福島県,棚倉町,0.51,87.8,12.3,-,99.1
074829,福島県,矢祭町,0.34,87.9,3.6,-,100.3
074837,福島県,塙町,0.27,93.7,10.9,32.1,98.4
074845,福島県,鮫川村,0.17,81.7,6.4,-,99.5
075019,福島県,石川町,0.41,88.0,6.0,8.1,99.6
075027,福島県,玉川村,0.34,96.0,11.5,82.5,98.7
075035,福島県,平田村,0.24,89.1,13.9,15.6,99.8
075043,福島県,浅川町,0.31,86.4,6.4,-,99.6
