団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
123226,千葉県,酒々井町,0.71,94.7,5.7,4.0,98.3
123293,千葉県,栄町,0.51,96.3,5.4,-,98.5
123421,千葉県,神崎町,0.38,87.0,3.3,-,100.5
123471,千葉県,多古町,0.53,91.5,5.9,-,100.0
123498,千葉県,東庄町,0.41,86.9,4.9,-,100.5
124036,千葉県,九十九里町,0.42,87.5,7.6,-,100.8
124095,千葉県,芝山町,1.03,82.5,6.1,-,101.7
124109,千葉県,横芝光町,0.45,89.6,5.1,-,98.8
124214,千葉県,一宮町,0.53,88.0,4.4,-,100.9
124222,千葉県,睦沢町,0.36,84.5,6.4,-,99.9
124231,千葉県,長生村,0.49,87.5,9.7,34.0,101.8
124249,千葉県,白子町,0.44,80.4,5.2,-,100.5
124265,千葉県,長柄町,0.51,90.8,6.6,-,100.5
124273,千葉県,長南町,0.41,84.5,6.7,23.4,99.6
124419,千葉県,大多喜町,0.40,91.7,3.7,-,96.4
124435,千葉県,御宿町,0.39,90.4,4.9,-,98.0
124630,千葉県,鋸南町,0.27,90.2,8.9,11.6,98.7
131016,東京都,千代田区,0.84,72.3,▲ 1.1,-,99.0
131024,東京都,中央区,0.61,60.4,1.1,-,100.9
131032,東京都,港区,1.15,70.7,▲ 1.8,-,98.3
131041,東京都,新宿区,0.66,80.0,▲ 2.4,-,98.3
131059,東京都,文京区,0.62,82.7,▲ 3.6,-,99.6
131067,東京都,台東区,0.49,82.7,▲ 2.1,-,97.5
131075,東京都,墨田区,0.42,78.9,▲ 0.6,-,98.3
131083,東京都,江東区,0.50,73.1,▲ 2.8,-,98.5
131091,東京都,品川区,0.57,76.8,▲ 3.7,-,99.1
131105,東京都,目黒区,0.73,76.1,▲ 3.8,-,99.6
131113,東京都,大田区,0.54,78.6,▲ 2.1,-,100.5
131121,東京都,世田谷区,0.68,80.8,▲ 2.4,-,99.6
131130,東京都,渋谷区,0.96,65.6,▲ 3.4,-,98.5
131148,東京都,中野区,0.49,71.2,▲ 3.5,-,98.8
131156,東京都,杉並区,0.60,80.7,▲ 4.6,-,99.0
131164,東京都,豊島区,0.53,79.6,▲ 1.4,-,98.2
131172,東京都,北区,0.39,79.8,▲ 2.0,-,97.7
131181,東京都,荒川区,0.34,79.1,2.2,-,96.6
131199,東京都,板橋区,0.43,75.8,▲ 3.4,-,98.0
131202,東京都,練馬区,0.46,80.6,▲ 2.5,-,98.3
131211,東京都,足立区,0.38,78.6,▲ 3.4,-,98.7
131229,東京都,葛飾区,0.35,77.5,▲ 1.5,-,98.0
131237,東京都,江戸川区,0.39,70.5,▲ 5.0,-,97.6
132012,東京都,八王子市,0.90,87.5,0.0,-,97.6
132021,東京都,立川市,1.16,85.1,2.7,-,97.8
132039,東京都,武蔵野市,1.51,79.5,▲ 0.8,-,100.4
132047,東京都,三鷹市,1.13,89.4,0.8,-,99.6
132055,東京都,青梅市,0.78,99.1,2.2,-,99.1
132063,東京都,府中市,1.21,86.2,2.7,-,99.8
132071,東京都,昭島市,0.97,84.6,0.2,-,99.8
132080,東京都,調布市,1.18,89.4,1.5,1.8,99.9
132098,東京都,町田市,0.93,94.3,0.6,-,99.1
132101,東京都,小金井市,1.01,93.9,1.7,-,96.8
132110,東京都,小平市,0.92,82.6,1.8,-,100.2
132128,東京都,日野市,0.92,94.2,▲ 1.4,6.4,98.0
132136,東京都,東村山市,0.75,94.2,2.2,-,100.1
132144,東京都,国分寺市,1.03,95.7,1.2,15.3,99.4
132152,東京都,国立市,0.99,98.9,2.5,-,100.9
132187,東京都,福生市,0.72,88.5,▲ 2.8,-,99.7
132195,東京都,狛江市,0.82,87.3,0.9,-,101.2
132209,東京都,東大和市,0.78,96.7,▲ 0.6,-,99.9
132217,東京都,清瀬市,0.66,93.9,4.0,27.0,100.5
132225,東京都,東久留米市,0.79,94.0,0.1,-,97.9
132233,東京都,武蔵村山市,0.78,94.6,1.7,-,97.8
132241,東京都,多摩市,1.12,87.8,2.9,-,99.7
132250,東京都,稲城市,0.93,91.7,3.7,10.3,99.7
132276,東京都,羽村市,0.93,98.5,0.4,-,101.5
132284,東京都,あきる野市,0.69,98.8,4.4,14.1,99.1
132292,東京都,西東京市,0.88,93.3,2.6,-,99.1
133035,東京都,瑞穂町,0.99,92.2,0.9,-,101.5
133051,東京都,日の出町,0.63,100.9,3.5,-,97.5
133078,東京都,檜原村,0.17,75.9,▲ 3.2,-,99.9
133086,東京都,奥多摩町,0.27,76.6,7.4,-,99.9
133612,東京都,大島町,0.28,96.7,12.9,92.7,90.6
133621,東京都,利島村,0.12,75.3,6.8,-,91.1
133639,東京都,新島村,0.18,82.1,6.9,-,88.9
133647,東京都,神津島村,0.19,75.8,2.2,-,93.2
133817,東京都,三宅村,0.20,93.9,9.9,-,88.6
133825,東京都,御蔵島村,0.11,76.9,5.1,-,80.2
134015,東京都,八丈町,0.27,85.5,11.1,-,87.1
134023,東京都,青ヶ島村,0.16,64.9,▲ 0.2,-,73.3
134210,東京都,小笠原村,0.24,74.4,3.2,-,93.2
141003,神奈川県,横浜市,0.94,98.1,9.5,127.2,100.0
141305,神奈川県,川崎市,1.03,97.2,8.4,124.0,100.2
141500,神奈川県,相模原市,0.83,96.0,2.8,-,98.3
142018,神奈川県,横須賀市,0.75,99.9,5.6,26.0,100.9
142034,神奈川県,平塚市,0.94,96.4,5.0,14.5,98.7
142042,神奈川県,鎌倉市,1.08,96.1,1.3,-,98.5
142051,神奈川県,藤沢市,1.05,92.3,5.2,45.2,101.1
142069,神奈川県,小田原市,0.91,94.0,3.3,38.4,98.8
142077,神奈川県,茅ヶ崎市,0.90,95.9,3.9,16.3,98.1
142085,神奈川県,逗子市,0.79,94.3,6.6,-,98.5
142107,神奈川県,三浦市,0.54,100.4,11.7,92.1,96.9
142115,神奈川県,秦野市,0.79,95.0,1.6,8.4,101.1
142123,神奈川県,厚木市,1.15,88.5,3.2,56.2,100.1
142131,神奈川県,大和市,0.93,99.3,4.3,39.8,95.7
142140,神奈川県,伊勢原市,0.92,98.9,7.4,28.6,101.2
142158,神奈川県,海老名市,1.03,94.3,5.2,30.2,101.3
142166,神奈川県,座間市,0.83,99.4,2.4,10.1,102.9
142174,神奈川県,南足柄市,0.78,98.7,2.9,-,101.3
142182,神奈川県,綾瀬市,0.86,92.4,2.4,-,100.3
143014,神奈川県,葉山町,0.80,90.0,▲ 2.7,-,101.7
143219,神奈川県,寒川町,1.08,92.6,6.4,-,99.6
143413,神奈川県,大磯町,0.75,86.6,4.8,5.7,96.1
143421,神奈川県,二宮町,0.63,95.0,5.4,6.7,97.4
143618,神奈川県,中井町,0.91,75.3,0.0,-,94.9
143626,神奈川県,大井町,0.72,85.6,▲ 1.6,-,97.3
143634,神奈川県,松田町,0.55,89.3,6.3,7.1,95.8
143642,神奈川県,山北町,0.50,85.5,11.6,4.8,101.3
143669,神奈川県,開成町,0.82,86.3,5.6,31.8,100.3
143821,神奈川県,箱根町,1.30,99.7,12.7,64.4,99.1
143839,神奈川県,真鶴町,0.38,96.5,12.8,78.0,91.5
143847,神奈川県,湯河原町,0.63,101.9,7.1,65.7,97.1
144011,神奈川県,愛川町,0.96,95.3,0.8,-,100.1
144029,神奈川県,清川村,0.77,82.4,▲ 0.1,-,93.2
151009,新潟県,新潟市,0.65,94.2,12.1,123.0,99.0
152021,新潟県,長岡市,0.59,92.6,7.3,73.1,96.4
152048,新潟県,三条市,0.54,95.1,14.2,79.3,94.0
152056,新潟県,柏崎市,0.65,92.8,9.6,6.6,98.4
152064,新潟県,新発田市,0.48,87.5,7.4,63.3,95.1
152081,新潟県,小千谷市,0.52,88.9,10.4,22.3,95.3
152099,新潟県,加茂市,0.40,96.5,9.7,83.6,94.4
152102,新潟県,十日町市,0.33,95.7,13.7,92.7,96.1
152111,新潟県,見附市,0.53,94.9,11.9,80.9,95.8
152129,新潟県,村上市,0.34,92.1,12.0,75.6,93.0
152137,新潟県,燕市,0.60,93.0,13.3,86.5,95.2
152161,新潟県,糸魚川市,0.47,96.5,12.4,50.7,93.4
152170,新潟県,妙高市,0.42,85.7,7.0,-,93.2
152188,新潟県,五泉市,0.43,88.2,7.1,46.4,94.2
152226,新潟県,上越市,0.57,92.4,10.9,58.6,98.2
152234,新潟県,阿賀野市,0.42,89.2,9.8,58.4,93.9
152242,新潟県,佐渡市,0.24,95.3,12.1,130.2,92.8
152251,新潟県,魚沼市,0.28,91.4,8.8,7.1,93.4
152269,新潟県,南魚沼市,0.41,89.5,11.8,-,93.1
152277,新潟県,胎内市,0.44,98.6,13.1,110.6,92.8
153079,新潟県,聖籠町,1.07,84.6,10.5,2.1,96.9
153427,新潟県,弥彦村,0.38,78.2,12.9,51.3,94.7
153613,新潟県,田上町,0.36,83.9,7.6,17.0,91.0
153851,新潟県,阿賀町,0.20,92.2,12.7,65.2,91.1
154059,新潟県,出雲崎町,0.22,86.3,8.8,-,95.0
154610,新潟県,湯沢町,0.90,94.9,8.0,28.8,94.3
154822,新潟県,津南町,0.25,89.0,11.6,23.4,93.0
155047,新潟県,刈羽村,1.39,71.2,▲ 1.7,-,96.2
155811,新潟県,関川村,0.21,86.7,12.4,16.7,92.7
155861,新潟県,粟島浦村,0.09,83.9,5.3,-,82.9
162019,富山県,富山市,0.80,92.9,8.8,84.2,100.1
162027,富山県,高岡市,0.71,85.0,11.6,100.6,99.7
162043,富山県,魚津市,0.67,90.9,11.3,73.5,98.7
162051,富山県,氷見市,0.46,86.7,11.8,12.9,97.9
162060,富山県,滑川市,0.71,84.2,4.7,-,98.5
162078,富山県,黒部市,0.62,89.5,10.8,113.9,98.3
162086,富山県,砺波市,0.57,92.7,12.3,18.5,97.7
162094,富山県,小矢部市,0.56,89.2,13.3,141.4,93.8
162108,富山県,南砺市,0.34,93.4,7.8,-,95.1
162116,富山県,射水市,0.64,89.0,9.3,61.7,96.1
163210,富山県,舟橋村,0.32,89.8,8.8,44.6,91.4
163228,富山県,上市町,0.44,89.1,14.2,53.8,93.5
163236,富山県,立山町,0.46,83.6,11.5,25.4,97.6
163422,富山県,入善町,0.52,87.4,15.5,30.9,95.2
163431,富山県,朝日町,0.34,91.1,12.9,-,93.9
172014,石川県,金沢市,0.86,89.9,4.0,20.2,99.2
172022,石川県,七尾市,0.44,95.5,12.9,72.0,94.5
172031,石川県,小松市,0.65,94.7,11.3,102.1,97.4
172049,石川県,輪島市,0.24,93.6,14.9,11.1,97.3
172057,石川県,珠洲市,0.22,96.8,15.1,-,95.3
172065,石川県,加賀市,0.54,95.5,8.7,106.8,97.2
172073,石川県,羽咋市,0.40,89.9,7.1,-,94.3
172090,石川県,かほく市,0.41,90.8,10.6,87.7,94.8
172103,石川県,白山市,0.63,94.4,11.0,120.3,97.6
172111,石川県,能美市,0.65,93.7,3.8,1.8,96.1
172120,石川県,野々市市,0.78,94.0,6.7,-,96.6
173240,石川県,川北町,0.54,86.1,7.3,4.2,92.3
173614,石川県,津幡町,0.55,88.9,7.5,77.6,94.9
173657,石川県,内灘町,0.50,88.9,8.5,49.2,93.3
173843,石川県,志賀町,0.54,90.0,8.5,-,93.1
173860,石川県,宝達志水町,0.36,88.9,8.5,-,92.6
174076,石川県,中能登町,0.30,93.1,15.2,27.3,90.5
174611,石川県,穴水町,0.25,88.9,9.1,53.6,93.0
174637,石川県,能登町,0.19,86.2,4.0,1.6,94.3
182010,福井県,福井市,0.78,91.1,10.4,47.2,99.5
182028,福井県,敦賀市,0.86,94.7,3.9,-,97.4
182044,福井県,小浜市,0.42,98.9,11.3,94.0,96.6
182052,福井県,大野市,0.42,95.1,5.7,17.0,97.1
182061,福井県,勝山市,0.42,92.5,8.9,32.9,94.5
182079,福井県,鯖江市,0.66,91.0,5.1,-,96.8
182087,福井県,あわら市,0.56,94.8,7.3,23.6,98.4
182095,福井県,越前市,0.73,95.0,10.2,128.2,99.2
182109,福井県,坂井市,0.60,95.4,8.1,8.4,98.7
183229,福井県,永平寺町,0.37,96.8,7.5,-,93.8
183822,福井県,池田町,0.14,80.9,8.0,-,92.7
184047,福井県,南越前町,0.27,88.7,2.0,-,90.8
184233,福井県,越前町,0.33,92.4,9.8,-,91.7
184420,福井県,美浜町,1.04,69.1,8.4,53.3,93.7
184811,福井県,高浜町,1.33,70.4,6.5,-,91.6
184837,福井県,おおい町,1.02,74.6,1.0,-,92.0
185019,福井県,若狭町,0.33,88.8,14.8,57.7,91.4
192015,山梨県,甲府市,0.71,91.7,8.3,15.6,97.9
192023,山梨県,富士吉田市,0.66,83.2,9.5,-,99.0
192040,山梨県,都留市,0.45,89.6,11.4,-,97.7
192058,山梨県,山梨市,0.41,99.4,12.3,27.3,96.6
192066,山梨県,大月市,0.60,92.1,14.7,72.3,95.7
192074,山梨県,韮崎市,0.74,95.1,10.5,56.9,98.7
192082,山梨県,南アルプス市,0.50,92.1,4.6,-,98.5
192091,山梨県,北杜市,0.41,85.9,5.8,-,98.7
192104,山梨県,甲斐市,0.61,88.9,5.2,-,97.1
192112,山梨県,笛吹市,0.51,94.6,7.5,-,97.4
192121,山梨県,上野原市,0.48,88.0,12.1,12.4,97.5
192139,山梨県,甲州市,0.43,90.1,14.3,47.5,95.5
192147,山梨県,中央市,0.66,91.4,7.1,-,96.3
193461,山梨県,市川三郷町,0.30,98.1,13.0,111.1,96.1
193640,山梨県,早川町,0.26,76.4,3.3,-,96.8
193658,山梨県,身延町,0.25,77.1,▲ 0.6,-,95.1
193666,山梨県,南部町,0.27,78.6,1.0,-,96.3
193682,山梨県,富士川町,0.34,86.8,10.4,61.7,97.0
193844,山梨県,昭和町,1.12,83.9,8.7,-,93.9
194221,山梨県,道志村,0.15,86.9,9.6,-,95.6
194239,山梨県,西桂町,0.28,89.3,7.5,-,91.8
194247,山梨県,忍野村,1.09,79.0,▲ 3.3,-,93.7
194255,山梨県,山中湖村,1.07,75.2,1.4,-,93.5
194298,山梨県,鳴沢村,0.52,74.6,▲ 2.4,-,94.9
194301,山梨県,富士河口湖町,0.58,77.8,10.8,32.0,96.2
194425,山梨県,小菅村,0.11,88.1,10.4,-,88.3
194433,山梨県,丹波山村,0.07,94.3,9.3,-,94.7
202011,長野県,長野市,0.71,91.8,5.2,20.6,100.2
202029,長野県,松本市,0.70,87.8,3.6,-,99.3
202037,長野県,上田市,0.58,90.5,5.3,19.4,99.4
202045,長野県,岡谷市,0.60,88.0,6.9,34.0,96.2
202053,長野県,飯田市,0.53,90.4,8.1,3.1,96.9
202061,長野県,諏訪市,0.68,88.7,7.2,46.4,96.4
202070,長野県,須坂市,0.55,91.7,8.0,-,99.0
202088,長野県,小諸市,0.58,95.5,7.3,-,97.8
202096,長野県,伊那市,0.47,87.5,6.8,-,97.3
202100,長野県,駒ケ根市,0.56,92.1,11.7,70.6,97.3
202118,長野県,中野市,0.56,90.7,6.1,-,96.8
202126,長野県,大町市,0.44,89.8,8.3,31.9,96.5
202134,長野県,飯山市,0.34,91.7,11.7,-,96.8
202142,長野県,茅野市,0.54,91.0,7.5,45.1,96.2
202151,長野県,塩尻市,0.63,91.7,7.2,7.8,98.6
202177,長野県,佐久市,0.51,84.8,1.4,-,99.4
202185,長野県,千曲市,0.50,94.9,10.7,5.3,96.5
202193,長野県,東御市,0.48,91.9,10.1,24.1,98.2
202207,長野県,安曇野市,0.50,88.4,8.3,-,97.5
203033,長野県,小海町,0.26,82.9,7.1,-,95.6
203041,長野県,川上村,0.26,79.6,1.5,-,91.6
203050,長野県,南牧村,0.28,76.1,2.6,-,95.7
203068,長野県,南相木村,0.61,82.5,0.5,-,90.1
203076,長野県,北相木村,0.14,89.5,7.4,-,90.3
203092,長野県,佐久穂町,0.24,90.7,10.5,-,96.2
203211,長野県,軽井沢町,1.52,62.7,1.0,-,96.4
203238,長野県,御代田町,0.60,75.9,7.8,-,96.0
203246,長野県,立科町,0.32,87.4,8.0,-,98.6
203491,長野県,青木村,0.22,80.4,8.1,-,95.9
203505,長野県,長和町,0.22,85.7,9.8,44.0,97.6
203611,長野県,下諏訪町,0.53,85.3,7.0,29.6,95.4
203629,長野県,富士見町,0.52,90.2,6.3,-,99.4
203637,長野県,原村,0.36,84.7,6.9,-,93.7
203823,長野県,辰野町,0.45,86.3,6.7,-,95.1
203831,長野県,箕輪町,0.56,85.9,8.2,30.1,96.7
203840,長野県,飯島町,0.37,78.5,8.0,29.4,95.0
203858,長野県,南箕輪村,0.54,86.6,7.5,1.7,95.1
203866,長野県,中川村,0.21,82.2,▲ 1.0,-,96.3
203882,長野県,宮田村,0.46,80.9,7.1,-,93.8
204021,長野県,松川町,0.38,85.7,5.9,-,97.4
204030,長野県,高森町,0.41,84.8,8.3,35.5,98.1
204048,長野県,阿南町,0.18,77.0,4.0,-,89.6
204072,長野県,阿智村,0.23,81.3,1.6,-,93.0
204099,長野県,平谷村,0.14,80.7,5.1,-,93.6
204102,長野県,根羽村,0.11,68.0,4.5,-,93.6
204111,長野県,下條村,0.22,68.3,▲ 4.6,-,93.9
204129,長野県,売木村,0.11,86.3,10.9,-,90.8
204137,長野県,天龍村,0.15,79.7,1.9,-,92.4
204145,長野県,泰阜村,0.15,69.3,7.2,-,93.5
204153,長野県,喬木村,0.24,79.6,8.5,-,94.5
204161,長野県,豊丘村,0.29,75.9,11.8,-,96.5
204170,長野県,大鹿村,0.15,68.5,1.6,-,94.0
204226,長野県,上松町,0.23,91.4,10.3,40.0,94.5
204234,長野県,南木曽町,0.23,83.0,8.9,-,96.7
204251,長野県,木祖村,0.27,85.8,7.6,-,95.2
204293,長野県,王滝村,0.19,80.0,8.0,-,92.6
204307,長野県,大桑村,0.24,89.2,11.7,40.3,98.7
204323,長野県,木曽町,0.26,88.5,9.3,-,97.4
204463,長野県,麻績村,0.17,79.8,6.3,-,91.8
204480,長野県,生坂村,0.13,80.8,7.4,-,94.0
204501,長野県,山形村,0.43,77.0,6.0,-,91.5
204510,長野県,朝日村,0.36,76.2,7.1,-,93.6
204528,長野県,筑北村,0.16,81.6,2.6,-,93.0
204811,長野県,池田町,0.31,87.2,12.1,-,94.5
204820,長野県,松川村,0.34,81.0,10.0,-,96.5
204854,長野県,白馬村,0.42,80.1,15.6,4.7,96.7
204862,長野県,小谷村,0.22,81.9,11.3,-,93.5
205214,長野県,坂城町,0.62,82.2,7.9,-,95.9
205419,長野県,小布施町,0.40,87.8,5.6,-,96.5
205435,長野県,高山村,0.28,85.1,7.2,-,91.5
205613,長野県,山ノ内町,0.37,86.2,8.6,41.7,92.7
205621,長野県,木島平村,0.19,81.1,13.2,-,94.1
205630,長野県,野沢温泉村,0.18,83.5,8.1,-,89.8
205834,長野県,信濃町,0.30,85.9,8.4,-,95.3
205885,長野県,小川村,0.13,89.7,6.1,-,92.8
205907,長野県,飯綱町,0.25,84.3,11.3,-,94.5
206024,長野県,栄村,0.13,74.0,7.2,-,93.2
212016,岐阜県,岐阜市,0.82,95.6,2.5,-,100.0
212024,岐阜県,大垣市,0.83,89.0,2.5,9.6,99.7
212032,岐阜県,高山市,0.53,79.9,4.5,-,99.3
212041,岐阜県,多治見市,0.68,87.4,▲ 3.1,-,96.1
212059,岐阜県,関市,0.59,84.6,2.0,-,97.7
212067,岐阜県,中津川市,0.49,89.7,6.9,-,98.3
212075,岐阜県,美濃市,0.52,90.8,9.5,6.3,96.9
212083,岐阜県,瑞浪市,0.60,90.9,2.3,-,97.4
212091,岐阜県,羽島市,0.74,95.2,7.0,-,97.9
212105,岐阜県,恵那市,0.44,90.4,1.0,-,96.8
212113,岐阜県,美濃加茂市,0.76,90.2,4.4,-,95.2
212121,岐阜県,土岐市,0.66,90.1,5.1,-,97.1
212130,岐阜県,各務原市,0.85,92.8,4.7,-,100.3
212148,岐阜県,可児市,0.81,87.0,▲ 0.8,-,96.1
212156,岐阜県,山県市,0.40,92.2,9.4,3.1,95.9
212164,岐阜県,瑞穂市,0.72,88.0,1.2,-,95.0
212172,岐阜県,飛騨市,0.34,92.7,12.2,-,93.7
212181,岐阜県,本巣市,0.53,89.2,7.9,50.0,96.7
212199,岐阜県,郡上市,0.32,86.9,11.1,68.3,93.7
212202,岐阜県,下呂市,0.33,93.1,11.0,1.9,97.3
212211,岐阜県,海津市,0.45,88.8,7.7,29.3,93.6
213021,岐阜県,岐南町,0.89,92.0,7.7,-,96.7
213039,岐阜県,笠松町,0.67,91.6,6.4,37.8,95.7
213411,岐阜県,養老町,0.58,87.7,8.2,32.6,95.7
213616,岐阜県,垂井町,0.67,84.3,4.8,69.6,96.9
213624,岐阜県,関ケ原町,0.45,88.5,10.3,19.8,91.5
213811,岐阜県,神戸町,0.63,83.7,4.7,36.2,93.3
213829,岐阜県,輪之内町,0.57,81.7,7.1,5.1,94.2
213837,岐阜県,安八町,0.58,87.6,13.7,62.3,92.1
214019,岐阜県,揖斐川町,0.45,83.2,6.8,-,93.2
214035,岐阜県,大野町,0.58,88.3,5.9,-,95.6
214043,岐阜県,池田町,0.60,81.7,11.4,51.1,94.8
214213,岐阜県,北方町,0.60,88.2,11.1,-,95.0
215015,岐阜県,坂祝町,0.49,85.6,4.3,-,95.7
215023,岐阜県,富加町,0.42,89.5,10.1,-,96.6
215031,岐阜県,川辺町,0.42,84.6,9.1,-,94.1
215040,岐阜県,七宗町,0.24,75.0,2.8,-,97.0
215058,岐阜県,八百津町,0.40,83.7,3.4,-,96.5
215066,岐阜県,白川町,0.27,82.0,10.0,-,94.1
215074,岐阜県,東白川村,0.15,107.2,15.8,32.6,94.6
215210,岐阜県,御嵩町,0.59,84.8,6.5,-,97.3
216046,岐阜県,白川村,0.32,64.2,3.2,-,95.0
221007,静岡県,静岡市,0.83,92.8,6.1,31.9,101.5
221309,静岡県,浜松市,0.81,91.2,3.8,-,100.1
222038,静岡県,沼津市,0.91,87.8,4.6,12.1,102.3
222054,静岡県,熱海市,0.84,88.5,4.3,-,102.8
222062,静岡県,三島市,0.86,89.2,6.4,26.2,102.4
222071,静岡県,富士宮市,0.84,90.3,3.4,-,101.3
222089,静岡県,伊東市,0.65,88.1,5.9,-,100.5
222097,静岡県,島田市,0.69,92.5,5.7,9.3,100.0
222101,静岡県,富士市,1.00,90.4,3.8,63.8,101.4
222119,静岡県,磐田市,0.78,87.4,0.9,-,98.7
222127,静岡県,焼津市,0.82,92.5,6.3,-,100.1
222135,静岡県,掛川市,0.84,89.2,7.9,15.6,101.4
222143,静岡県,藤枝市,0.82,88.9,5.0,-,101.7
222151,静岡県,御殿場市,1.02,85.4,10.4,11.0,101.0
222160,静岡県,袋井市,0.81,92.8,5.1,52.5,101.5
222194,静岡県,下田市,0.46,85.7,6.8,46.8,99.0
222208,静岡県,裾野市,0.95,96.8,12.2,27.3,100.1
222216,静岡県,湖西市,1.00,92.6,4.9,2.4,101.6
222224,静岡県,伊豆市,0.45,88.0,6.4,46.0,95.4
222232,静岡県,御前崎市,0.92,89.7,1.0,-,97.5
222241,静岡県,菊川市,0.70,93.4,8.9,-,98.2
222259,静岡県,伊豆の国市,0.63,90.7,7.2,27.5,97.7
222267,静岡県,牧之原市,0.70,90.5,5.8,-,95.9
223018,静岡県,東伊豆町,0.54,83.1,7.4,20.0,92.7
223026,静岡県,河津町,0.39,89.7,5.9,-,94.7
223042,静岡県,南伊豆町,0.29,85.4,7.6,-,97.2
223051,静岡県,松崎町,0.26,86.3,5.3,-,96.0
223069,静岡県,西伊豆町,0.26,81.7,4.3,-,96.7
223255,静岡県,函南町,0.72,91.5,5.1,17.2,97.2
223417,静岡県,清水町,0.92,87.8,6.4,14.9,94.9
223425,静岡県,長泉町,1.14,83.5,1.6,-,96.6
223441,静岡県,小山町,0.85,89.6,10.3,30.7,98.8
224243,静岡県,吉田町,0.87,88.1,10.7,18.7,95.8
224294,静岡県,川根本町,0.33,86.4,1.0,-,94.5
224618,静岡県,森町,0.54,93.1,12.9,28.4,95.8
231002,愛知県,名古屋市,0.97,99.9,6.4,83.0,98.8
232017,愛知県,豊橋市,0.98,90.0,5.1,27.1,96.0
232025,愛知県,岡崎市,1.00,91.9,1.1,-,99.6
232033,愛知県,一宮市,0.77,90.7,3.5,11.0,100.4
232041,愛知県,瀬戸市,0.81,88.0,1.1,-,99.3
232050,愛知県,半田市,0.96,83.4,0.6,-,98.9
232068,愛知県,春日井市,0.93,97.4,4.3,21.9,100.7
232076,愛知県,豊川市,0.79,86.1,▲ 0.9,-,101.0
232084,愛知県,津島市,0.71,94.6,4.9,-,96.7
232092,愛知県,碧南市,1.16,97.5,3.1,2.8,96.4
232106,愛知県,刈谷市,1.24,84.4,▲ 1.5,-,99.0
232114,愛知県,豊田市,1.34,75.1,1.2,-,99.8
232122,愛知県,安城市,1.25,84.7,0.6,-,99.2
232131,愛知県,西尾市,0.94,93.8,1.6,-,99.7
232149,愛知県,蒲郡市,0.80,92.8,0.9,-,100.9
232157,愛知県,犬山市,0.85,92.2,2.7,-,100.8
232165,愛知県,常滑市,0.93,86.9,12.0,101.2,96.4
232173,愛知県,江南市,0.75,93.8,3.2,-,99.3
232190,愛知県,小牧市,1.18,92.9,0.8,-,101.2
232203,愛知県,稲沢市,0.84,92.0,3.2,-,100.1
232211,愛知県,新城市,0.53,92.5,7.9,49.0,98.2
232220,愛知県,東海市,1.26,84.0,0.8,17.1,100.7
232238,愛知県,大府市,1.12,83.6,▲ 0.2,-,97.4
232246,愛知県,知多市,0.92,94.0,2.9,19.3,96.3
232254,愛知県,知立市,0.95,90.0,1.7,-,99.4
232262,愛知県,尾張旭市,0.84,89.5,3.6,-,98.3
232271,愛知県,高浜市,1.01,97.6,2.9,28.8,96.6
232289,愛知県,岩倉市,0.74,91.6,3.8,4.0,100.1
232297,愛知県,豊明市,0.84,90.0,1.0,-,97.7
232301,愛知県,日進市,1.00,85.1,0.7,-,98.8
232319,愛知県,田原市,0.93,99.0,2.3,-,99.6
232327,愛知県,愛西市,0.59,94.4,4.8,-,97.5
232335,愛知県,清須市,0.78,91.8,2.3,-,97.5
232343,愛知県,北名古屋市,0.83,92.8,5.2,-,98.8
232351,愛知県,弥富市,0.92,91.9,5.0,84.6,97.5
232360,愛知県,みよし市,1.34,84.7,2.2,-,97.5
232378,愛知県,あま市,0.68,92.3,6.4,55.8,96.5
232386,愛知県,長久手市,1.03,94.7,1.7,-,97.8
233021,愛知県,東郷町,0.85,97.1,1.0,-,98.2
233421,愛知県,豊山町,1.09,87.1,1.3,-,100.1
233617,愛知県,大口町,1.11,74.8,1.4,-,94.9
233625,愛知県,扶桑町,0.75,89.7,0.6,-,96.8
234249,愛知県,大治町,0.78,91.9,3.2,16.3,96.1
234257,愛知県,蟹江町,0.81,92.0,5.4,57.1,93.6
234273,愛知県,飛島村,1.94,74.7,▲ 0.6,-,97.8
234419,愛知県,阿久比町,0.71,89.7,5.1,15.9,98.3
234427,愛知県,東浦町,0.87,88.2,0.3,-,96.2
234451,愛知県,南知多町,0.47,90.3,6.7,66.0,97.0
234460,愛知県,美浜町,0.62,88.8,2.0,9.0,98.5
234478,愛知県,武豊町,1.05,65.3,0.1,3.8,99.6
235016,愛知県,幸田町,1.04,91.0,0.4,-,99.2
235610,愛知県,設楽町,0.23,79.8,7.0,-,94.4
235628,愛知県,東栄町,0.18,83.5,10.1,-,93.8
235636,愛知県,豊根村,0.26,93.0,7.5,-,93.5
242012,三重県,津市,0.67,98.6,5.2,22.6,99.1
242021,三重県,四日市市,1.14,80.7,3.3,-,101.9
242039,三重県,伊勢市,0.57,94.8,5.4,-,98.6
242047,三重県,松阪市,0.59,88.7,1.5,-,98.0
242055,三重県,桑名市,0.80,92.6,7.2,36.4,100.5
242071,三重県,鈴鹿市,0.86,93.4,1.5,-,100.1
242080,三重県,名張市,0.63,100.0,15.5,130.5,96.0
